Fri Jul 13 21:28:27 2012    cProfile

         153899 function calls (146715 primitive calls) in 0.269 seconds

   Ordered by: cumulative time
   List reduced from 75 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1224    0.002    0.000    0.003    0.000 f:\python27\lib\site-packages\lxml-2.3-py2.7-win32.egg\lxml\_elementpath.py:87(select)
     4690    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}




Fri Jul 13 21:28:29 2012    cProfile

         6078 function calls (5991 primitive calls) in 0.637 seconds

   Ordered by: cumulative time
   List reduced from 280 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.637    0.637 g:\beurtle\bexml\tests\LibTest.py:38(readRepo)
        6    0.001    0.000    0.636    0.106 g:\beurtle\bexml\libBEXML\xmlparserbase.py:266(parseIssues)
        2    0.000    0.000    0.539    0.270 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:266(_XMLIssue)
     20/6    0.000    0.000    0.539    0.090 g:\beurtle\bexml\libBEXML\issue.py:186(__setattr__)
     61/8    0.000    0.000    0.539    0.067 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:222(__setattr__)
        2    0.000    0.000    0.539    0.269 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:158(element)
        2    0.000    0.000    0.537    0.269 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:179(threadWorker)
        2    0.000    0.000    0.536    0.268 f:\python27\lib\site-packages\urllib3-1.3-py2.7.egg\urllib3\poolmanager.py:95(urlopen)
        2    0.000    0.000    0.536    0.268 f:\python27\lib\site-packages\urllib3-1.3-py2.7.egg\urllib3\connectionpool.py:286(urlopen)
        2    0.000    0.000    0.536    0.268 f:\python27\lib\site-packages\urllib3-1.3-py2.7.egg\urllib3\connectionpool.py:242(_make_request)
        2    0.000    0.000    0.460    0.230 f:\python27\lib\httplib.py:991(getresponse)
        2    0.000    0.000    0.460    0.230 f:\python27\lib\httplib.py:400(begin)
       30    0.002    0.000    0.459    0.015 f:\python27\lib\socket.py:406(readline)
      806    0.457    0.001    0.457    0.001 {method 'recv' of '_socket.socket' objects}
        2    0.000    0.000    0.453    0.227 f:\python27\lib\httplib.py:363(_read_status)
        1    0.000    0.000    0.096    0.096 g:\beurtle\bexml\libBEXML\PaginatedDataSource.py:94(close)
        7    0.000    0.000    0.096    0.014 f:\python27\lib\threading.py:649(join)
        1    0.000    0.000    0.096    0.096 f:\python27\lib\multiprocessing\pool.py:425(join)
       41    0.096    0.002    0.096    0.002 {method 'acquire' of 'thread.lock' objects}
        2    0.000    0.000    0.096    0.048 f:\python27\lib\threading.py:235(wait)
        2    0.000    0.000    0.075    0.038 f:\python27\lib\httplib.py:953(request)
        2    0.000    0.000    0.075    0.038 f:\python27\lib\httplib.py:974(_send_request)
        2    0.000    0.000    0.075    0.038 f:\python27\lib\httplib.py:938(endheaders)
        2    0.000    0.000    0.075    0.038 f:\python27\lib\httplib.py:796(_send_output)
        2    0.000    0.000    0.075    0.038 f:\python27\lib\httplib.py:769(send)
        1    0.000    0.000    0.075    0.075 f:\python27\lib\httplib.py:751(connect)
        1    0.000    0.000    0.075    0.075 f:\python27\lib\socket.py:537(create_connection)
        7    0.000    0.000    0.074    0.011 f:\python27\lib\socket.py:223(meth)
        1    0.074    0.074    0.074    0.074 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.007    0.003 f:\python27\lib\mimetools.py:24(__init__)




Fri Jul 13 21:28:37 2012    cProfile

         3988984 function calls (3712909 primitive calls) in 7.828 seconds

   Ordered by: cumulative time
   List reduced from 101 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.828    7.828 <string>:1(<module>)
        1    0.017    0.017    7.828    7.828 g:\beurtle\bexml\tests\LibTest.py:38(readRepo)
    19316    0.679    0.000    7.788    0.000 g:\beurtle\bexml\libBEXML\xmlparserbase.py:266(parseIssues)
     9657    0.040    0.000    6.908    0.001 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:266(_XMLIssue)
48285/19314    0.103    0.000    5.115    0.000 g:\beurtle\bexml\libBEXML\issue.py:186(__setattr__)
179505/28971    0.319    0.000    5.093    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:222(__setattr__)
     9657    0.101    0.000    4.952    0.001 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:158(element)
